id,tabela,registro_id,acao,dados_anteriores,dados_novos,campos_alterados,usuario_id,usuario_email,created_at
59768459-ed68-4e4b-b51a-a0b052e5962d,ordens_producao,a05309fa-4fb9-482a-ba83-59f80279c0a6,DELETE,"{""id"":""a05309fa-4fb9-482a-ba83-59f80279c0a6"",""lote"":""09"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""finalizada"",""cliente"":""Pablo"",""aprovada"":false,""material"":""teste"",""nome_peca"":""teste"",""cliente_id"":null,""created_at"":""2026-01-20T15:37:53.71903+00:00"",""created_by"":""67e1eef7-6fe9-4b45-8d25-31ce00cad5e9"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""teste"",""updated_at"":""2026-01-20T15:39:31.235605+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":""2026-01-22"",""preco_servico"":1500,""status_producao"":""finalizada"",""supervisor_nome"":null,""nota_fiscal_data"":null,""quantidade_total"":900,""maquina_utilizada"":""teste"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""teste"",""operador_responsavel"":""Thiago"",""codigo_descricao_material"":""teste"",""supervisor_data_aprovacao"":null}",null,[],null,null,2026-01-20 20:01:16.141695+00
887cd265-8b59-4a78-938b-5cc273bda238,ordens_producao,32c0a4e8-6a82-47ca-bd0e-be1463fa0dec,DELETE,"{""id"":""32c0a4e8-6a82-47ca-bd0e-be1463fa0dec"",""lote"":""87878"",""tipo"":""encomenda"",""codigo"":""OP-2026-0003"",""status"":""finalizada"",""cliente"":""teste"",""aprovada"":true,""material"":""teste"",""nome_peca"":""teste"",""cliente_id"":null,""created_at"":""2026-01-20T18:40:02.030636+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""teste"",""updated_at"":""2026-01-20T18:40:28.094458+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""finalizada"",""supervisor_nome"":""Thiago"",""nota_fiscal_data"":null,""quantidade_total"":1400,""maquina_utilizada"":""teste"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":14000,""observacoes_material"":""teeste"",""operador_responsavel"":""teste"",""codigo_descricao_material"":""tes3023"",""supervisor_data_aprovacao"":""2026-01-20T18:40:29.526+00:00""}",null,[],null,null,2026-01-20 20:01:23.177956+00
e862c71f-61a5-4e10-9046-9f7a7da589e6,ordens_producao,935f945d-9389-474c-9968-374ea1a9fc67,INSERT,null,"{""id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""lote"":""788"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""criada"",""cliente"":""TESTE"",""aprovada"":false,""material"":""teste"",""nome_peca"":""TESTE"",""cliente_id"":null,""created_at"":""2026-01-20T20:23:09.214768+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""TESTE"",""updated_at"":""2026-01-20T20:23:09.214768+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""criada"",""supervisor_nome"":null,""nota_fiscal_data"":null,""quantidade_total"":8999,""maquina_utilizada"":""TESTE"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""TESTE"",""operador_responsavel"":""TESTE"",""codigo_descricao_material"":""9898"",""supervisor_data_aprovacao"":null}",[],null,null,2026-01-20 20:23:09.214768+00
f4c40c33-f295-4347-8521-27de6c926ebc,ordens_producao,935f945d-9389-474c-9968-374ea1a9fc67,UPDATE,"{""id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""lote"":""788"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""criada"",""cliente"":""TESTE"",""aprovada"":false,""material"":""teste"",""nome_peca"":""TESTE"",""cliente_id"":null,""created_at"":""2026-01-20T20:23:09.214768+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""TESTE"",""updated_at"":""2026-01-20T20:23:09.214768+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""criada"",""supervisor_nome"":null,""nota_fiscal_data"":null,""quantidade_total"":8999,""maquina_utilizada"":""TESTE"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""TESTE"",""operador_responsavel"":""TESTE"",""codigo_descricao_material"":""9898"",""supervisor_data_aprovacao"":null}","{""id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""lote"":""788"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""em_producao"",""cliente"":""TESTE"",""aprovada"":false,""material"":""teste"",""nome_peca"":""TESTE"",""cliente_id"":null,""created_at"":""2026-01-20T20:23:09.214768+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""TESTE"",""updated_at"":""2026-01-20T20:23:34.503645+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""em_producao"",""supervisor_nome"":null,""nota_fiscal_data"":null,""quantidade_total"":8999,""maquina_utilizada"":""TESTE"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""TESTE"",""operador_responsavel"":""TESTE"",""codigo_descricao_material"":""9898"",""supervisor_data_aprovacao"":null}",null,null,null,2026-01-20 20:23:34.503645+00
b8dd2bf5-0f39-4cfb-8c4d-7896e694bdaf,ordens_producao,935f945d-9389-474c-9968-374ea1a9fc67,UPDATE,"{""id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""lote"":""788"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""em_producao"",""cliente"":""TESTE"",""aprovada"":false,""material"":""teste"",""nome_peca"":""TESTE"",""cliente_id"":null,""created_at"":""2026-01-20T20:23:09.214768+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""TESTE"",""updated_at"":""2026-01-20T20:23:34.503645+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""em_producao"",""supervisor_nome"":null,""nota_fiscal_data"":null,""quantidade_total"":8999,""maquina_utilizada"":""TESTE"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""TESTE"",""operador_responsavel"":""TESTE"",""codigo_descricao_material"":""9898"",""supervisor_data_aprovacao"":null}","{""id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""lote"":""788"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""em_producao"",""cliente"":""TESTE"",""aprovada"":true,""material"":""teste"",""nome_peca"":""TESTE"",""cliente_id"":null,""created_at"":""2026-01-20T20:23:09.214768+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""TESTE"",""updated_at"":""2026-01-20T20:23:45.464601+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""em_producao"",""supervisor_nome"":""Thiago"",""nota_fiscal_data"":null,""quantidade_total"":8999,""maquina_utilizada"":""TESTE"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""TESTE"",""operador_responsavel"":""TESTE"",""codigo_descricao_material"":""9898"",""supervisor_data_aprovacao"":""2026-01-20T20:23:46.839+00:00""}",null,null,null,2026-01-20 20:23:45.464601+00
28a45fce-5f18-4496-a1b5-3d1ddbd9238e,ordens_producao,935f945d-9389-474c-9968-374ea1a9fc67,UPDATE,"{""id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""lote"":""788"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""em_producao"",""cliente"":""TESTE"",""aprovada"":true,""material"":""teste"",""nome_peca"":""TESTE"",""cliente_id"":null,""created_at"":""2026-01-20T20:23:09.214768+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""TESTE"",""updated_at"":""2026-01-20T20:23:45.464601+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""em_producao"",""supervisor_nome"":""Thiago"",""nota_fiscal_data"":null,""quantidade_total"":8999,""maquina_utilizada"":""TESTE"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""TESTE"",""operador_responsavel"":""TESTE"",""codigo_descricao_material"":""9898"",""supervisor_data_aprovacao"":""2026-01-20T20:23:46.839+00:00""}","{""id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""lote"":""788"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""finalizada"",""cliente"":""TESTE"",""aprovada"":true,""material"":""teste"",""nome_peca"":""TESTE"",""cliente_id"":null,""created_at"":""2026-01-20T20:23:09.214768+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""TESTE"",""updated_at"":""2026-01-20T20:25:46.180211+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""finalizada"",""supervisor_nome"":""Thiago"",""nota_fiscal_data"":null,""quantidade_total"":8999,""maquina_utilizada"":""TESTE"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""TESTE"",""operador_responsavel"":""TESTE"",""codigo_descricao_material"":""9898"",""supervisor_data_aprovacao"":""2026-01-20T20:23:46.839+00:00""}",null,null,null,2026-01-20 20:25:46.180211+00
53df334c-8396-49bc-9355-db93ea433024,financeiro,2ac5b6f1-9ea3-4d27-8cad-b8572bf875f9,INSERT,null,"{""id"":""2ac5b6f1-9ea3-4d27-8cad-b8572bf875f9"",""op_id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""created_at"":""2026-01-20T21:01:21.097196+00:00"",""deleted_at"":null,""deleted_by"":null,""updated_at"":""2026-01-20T21:01:21.097196+00:00"",""updated_by"":null,""valor_pago"":0,""lucro_final"":1400,""observacoes"":null,""valor_total"":1400,""custos_extras"":0,""parcela_atual"":1,""data_pagamento"":null,""data_vencimento"":null,""forma_pagamento"":""pix"",""numero_parcelas"":1,""status_pagamento"":""pendente"",""prejuizo_defeitos"":0}",[],null,null,2026-01-20 21:01:21.097196+00
2c23c073-0702-41d0-8c82-ff34c0262728,ordens_producao,935f945d-9389-474c-9968-374ea1a9fc67,UPDATE,"{""id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""lote"":""788"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""finalizada"",""cliente"":""TESTE"",""aprovada"":true,""material"":""teste"",""nome_peca"":""TESTE"",""cliente_id"":null,""created_at"":""2026-01-20T20:23:09.214768+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""TESTE"",""updated_at"":""2026-01-20T20:25:46.180211+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""finalizada"",""supervisor_nome"":""Thiago"",""nota_fiscal_data"":null,""quantidade_total"":8999,""maquina_utilizada"":""TESTE"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""TESTE"",""operador_responsavel"":""TESTE"",""codigo_descricao_material"":""9898"",""supervisor_data_aprovacao"":""2026-01-20T20:23:46.839+00:00""}","{""id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""lote"":""788"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""finalizada"",""cliente"":""TESTE"",""aprovada"":true,""material"":""teste"",""nome_peca"":""TESTE"",""cliente_id"":null,""created_at"":""2026-01-20T20:23:09.214768+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""TESTE"",""updated_at"":""2026-01-20T21:01:21.097196+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""finalizada"",""supervisor_nome"":""Thiago"",""nota_fiscal_data"":null,""quantidade_total"":8999,""maquina_utilizada"":""TESTE"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""TESTE"",""operador_responsavel"":""TESTE"",""codigo_descricao_material"":""9898"",""supervisor_data_aprovacao"":""2026-01-20T20:23:46.839+00:00""}",null,null,null,2026-01-20 21:01:21.097196+00
2a12b092-31c4-466d-844b-c3b8d0b8a5c8,financeiro,2ac5b6f1-9ea3-4d27-8cad-b8572bf875f9,UPDATE,"{""id"":""2ac5b6f1-9ea3-4d27-8cad-b8572bf875f9"",""op_id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""created_at"":""2026-01-20T21:01:21.097196+00:00"",""deleted_at"":null,""deleted_by"":null,""updated_at"":""2026-01-20T21:01:21.097196+00:00"",""updated_by"":null,""valor_pago"":0,""lucro_final"":1400,""observacoes"":null,""valor_total"":1400,""custos_extras"":0,""parcela_atual"":1,""data_pagamento"":null,""data_vencimento"":null,""forma_pagamento"":""pix"",""numero_parcelas"":1,""status_pagamento"":""pendente"",""prejuizo_defeitos"":0}","{""id"":""2ac5b6f1-9ea3-4d27-8cad-b8572bf875f9"",""op_id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""created_at"":""2026-01-20T21:01:21.097196+00:00"",""deleted_at"":null,""deleted_by"":null,""updated_at"":""2026-01-20T21:01:21.263309+00:00"",""updated_by"":null,""valor_pago"":1400,""lucro_final"":1400,""observacoes"":null,""valor_total"":1400,""custos_extras"":0,""parcela_atual"":1,""data_pagamento"":""2026-01-20"",""data_vencimento"":null,""forma_pagamento"":""pix"",""numero_parcelas"":1,""status_pagamento"":""pago"",""prejuizo_defeitos"":0}",null,null,null,2026-01-20 21:01:21.263309+00
d8fbdf05-8f3d-4ef4-a44e-c32c2d28e5a0,ordens_producao,935f945d-9389-474c-9968-374ea1a9fc67,UPDATE,"{""id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""lote"":""788"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""finalizada"",""cliente"":""TESTE"",""aprovada"":true,""material"":""teste"",""nome_peca"":""TESTE"",""cliente_id"":null,""created_at"":""2026-01-20T20:23:09.214768+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""TESTE"",""updated_at"":""2026-01-20T21:01:21.097196+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""finalizada"",""supervisor_nome"":""Thiago"",""nota_fiscal_data"":null,""quantidade_total"":8999,""maquina_utilizada"":""TESTE"",""status_financeiro"":""pendente"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""TESTE"",""operador_responsavel"":""TESTE"",""codigo_descricao_material"":""9898"",""supervisor_data_aprovacao"":""2026-01-20T20:23:46.839+00:00""}","{""id"":""935f945d-9389-474c-9968-374ea1a9fc67"",""lote"":""788"",""tipo"":""encomenda"",""codigo"":""OP-2026-0001"",""status"":""finalizada"",""cliente"":""TESTE"",""aprovada"":true,""material"":""teste"",""nome_peca"":""TESTE"",""cliente_id"":null,""created_at"":""2026-01-20T20:23:09.214768+00:00"",""created_by"":""ab3f2d13-eff2-47f4-bde1-c2aa3e049b72"",""deleted_at"":null,""deleted_by"":null,""fornecedor"":""TESTE"",""updated_at"":""2026-01-20T21:01:21.263309+00:00"",""updated_by"":null,""data_inicio"":""2026-01-20"",""data_termino"":null,""preco_servico"":1400,""status_producao"":""finalizada"",""supervisor_nome"":""Thiago"",""nota_fiscal_data"":null,""quantidade_total"":8999,""maquina_utilizada"":""TESTE"",""status_financeiro"":""pago"",""nota_fiscal_numero"":null,""preparacao_maquina"":""teste"",""nota_fiscal_emitida"":false,""quantidade_material"":1000,""observacoes_material"":""TESTE"",""operador_responsavel"":""TESTE"",""codigo_descricao_material"":""9898"",""supervisor_data_aprovacao"":""2026-01-20T20:23:46.839+00:00""}",null,null,null,2026-01-20 21:01:21.263309+00
